Trans_ID|Acc_ID|Time_Stamp|Amount|Trans_Type
747739|47413637|12012023 01:00|3400|Credit
774429|60528591|12052023 01:00|3500|Debit
741230|54577337|12022023 01:00|5900|Credit
430598|79313209|12032023 01:00|5000|Debit
232303|47854303|12052023 01:00|4700|Credit
858321|65289692|12052023 01:00|4900|Credit
493618|68616093|12092023 01:00|6800|Debit
863381|34140764|12092023 01:00|2200|Credit
397221|36801786|12142023 01:00|8100|Debit
708755|55814719|12132023 01:00|6200|Credit
513261|44735989|11272023 01:00|4000|Debit
299921|29490405|11252023 01:00|1100|Credit
707376|33295781|11252023 01:00|4600|Credit
304949|40319596|11302023 01:00|1900|Debit
413195|35203058|11302023 01:00|1700|Credit
296394|74372208|11272023 01:00|5500|Debit
609772|51877923|12022023 01:00|3700|Credit
674479|45649440|12012023 01:00|6300|Credit
483572|37797229|12052023 01:00|8600|Debit
424631|81593550|12022023 01:00|2600|Credit
583785|82852014|12032023 01:00|5400|Credit
538666|45253028|12052023 01:00|3400|Debit
868521|50099533|12052023 01:00|3500|Credit
607391|41455350|12092023 01:00|5900|Debit
844503|76179240|12092023 01:00|3900|Debit
718388|40840221|11272023 01:00|3600|Credit
295597|77843316|11252023 01:00|7500|Credit
584648|46910400|11252023 01:00|2400|Debit
508502|55519972|11302023 01:00|3900|Credit
550149|80760915|11302023 01:00|6900|Debit
528662|47413637|11272023 01:00|8400|Credit
622970|60528591|12022023 01:00|4900|Credit
763444|54577337|12012023 01:00|4700|Debit
372956|79313209|12052023 01:00|5900|Credit
503729|47854303|12022023 01:00|3900|Credit
214346|65289692|12032023 01:00|3600|Debit
546806|68616093|12052023 01:00|7500|Credit
236531|34140764|12052023 01:00|2400|Credit
235900|36801786|12092023 01:00|3900|Debit
