Trans_ID|Acc_ID|Time_Stamp|Amount|Trans_Type
313048|29490405|11272023 01:00|4900|Debit
747134|33295781|11252023 01:00|5000|Credit
740172|40319596|11252023 01:00|4700|Debit
432298|35203058|11302023 01:00|4900|Credit
591347|74372208|11302023 01:00|6800|Credit
444112|51877923|11272023 01:00|2200|Debit
835011|45649440|12022023 01:00|8100|Credit
649713|37797229|12012023 01:00|6200|Debit
586492|81593550|12052023 01:00|4000|Credit
810555|82852014|12022023 01:00|1100|Credit
519037|45253028|12032023 01:00|4600|Debit
351595|50099533|12052023 01:00|1900|Credit
594796|41455350|11272023 01:00|1700|Debit
232720|76179240|11252023 01:00|5500|Credit
866625|40840221|11252023 01:00|3700|Credit
292572|77843316|11302023 01:00|6300|Debit
307135|46910400|11302023 01:00|8600|Credit
882929|55519972|11272023 01:00|2600|Debit
710272|80760915|12022023 01:00|5400|Credit
